"1600/09/08","慶長","05","08/01","庚子","小"
"1600/10/07","慶長","05","09/01","庚子","大"
"1600/11/06","慶長","05","10/01","庚子","大"
"1600/12/06","慶長","05","11/01","庚子","大"
"1601/01/05","慶長","05","12/01","庚子","小"
"1601/02/03","慶長","06","01/01","辛丑","大"
"1601/03/05","慶長","06","02/01","辛丑","小"
"1601/04/03","慶長","06","03/01","辛丑","大"
"1601/05/03","慶長","06","04/01","辛丑","小"
"1601/06/01","慶長","06","05/01","辛丑","小"
"1601/06/30","慶長","06","06/01","辛丑","大"
"1601/07/30","慶長","06","07/01","辛丑","小"
"1601/08/28","慶長","06","08/01","辛丑","小"
"1601/09/26","慶長","06","09/01","辛丑","大"
"1601/10/26","慶長","06","10/01","辛丑","大"
"1601/11/25","慶長","06","11/01","辛丑","大"
"1601/12/25","慶長","06","閏11/01","辛丑","小"
"1602/01/23","慶長","06","12/01","辛丑","大"
"1602/02/22","慶長","07","01/01","壬寅","大"
"1602/03/24","慶長","07","02/01","壬寅","小"
"1602/04/22","慶長","07","03/01","壬寅","大"
"1602/05/22","慶長","07","04/01","壬寅","小"
"1602/06/20","慶長","07","05/01","壬寅","小"
"1602/07/19","慶長","07","06/01","壬寅","小"
"1602/08/17","慶長","07","07/01","壬寅","大"
"1602/09/16","慶長","07","08/01","壬寅","小"
"1602/10/15","慶長","07","09/01","壬寅","大"
"1602/11/14","慶長","07","10/01","壬寅","大"
"1602/12/14","慶長","07","11/01","壬寅","小"
"1603/01/12","慶長","07","12/01","壬寅","大"
"1603/02/11","慶長","08","01/01","癸卯","大"
"1603/03/13","慶長","08","02/01","癸卯","大"
"1603/04/12","慶長","08","03/01","癸卯","小"
"1603/05/11","慶長","08","04/01","癸卯","大"
"1603/06/10","慶長","08","05/01","癸卯","小"
"1603/07/09","慶長","08","06/01","癸卯","小"
"1603/08/07","慶長","08","07/01","癸卯","大"
"1603/09/06","慶長","08","08/01","癸卯","小"
"1603/10/05","慶長","08","09/01","癸卯","小"
"1603/11/03","慶長","08","10/01","癸卯","大"
"1603/12/03","慶長","08","11/01","癸卯","大"
"1604/01/02","慶長","08","12/01","癸卯","小"
"1604/01/31","慶長","09","01/01","甲辰","大"
"1604/03/01","慶長","09","02/01","甲辰","大"
"1604/03/31","慶長","09","03/01","甲辰","小"
"1604/04/29","慶長","09","04/01","甲辰","大"
"1604/05/29","慶長","09","05/01","甲辰","小"
"1604/06/27","慶長","09","06/01","甲辰","大"
"1604/07/27","慶長","09","07/01","甲辰","小"
"1604/08/25","慶長","09","08/01","甲辰","大"
"1604/09/24","慶長","09","閏08/01","甲辰","小"
"1604/10/23","慶長","09","09/01","甲辰","小"
"1604/11/21","慶長","09","10/01","甲辰","大"
"1604/12/21","慶長","09","11/01","甲辰","小"
"1605/01/19","慶長","09","12/01","甲辰","大"
"1605/02/18","慶長","10","01/01","乙巳","大"
"1605/03/20","慶長","10","02/01","乙巳","小"
"1605/04/18","慶長","10","03/01","乙巳","大"
"1605/05/18","慶長","10","04/01","乙巳","大"
"1605/06/17","慶長","10","05/01","乙巳","小"
"1605/07/16","慶長","10","06/01","乙巳","大"
"1605/08/15","慶長","10","07/01","乙巳","小"
"1605/09/13","慶長","10","08/01","乙巳","大"
"1605/10/13","慶長","10","09/01","乙巳","小"
"1605/11/11","慶長","10","10/01","乙巳","小"
"1605/12/10","慶長","10","11/01","乙巳","大"
"1606/01/09","慶長","10","12/01","乙巳","小"
"1606/02/07","慶長","11","01/01","丙午","大"
"1606/03/09","慶長","11","02/01","丙午","大"
"1606/04/08","慶長","11","03/01","丙午","小"
"1606/05/07","慶長","11","04/01","丙午","大"
"1606/06/06","慶長","11","05/01","丙午","小"
"1606/07/05","慶長","11","06/01","丙午","大"
"1606/08/04","慶長","11","07/01","丙午","大"
"1606/09/03","慶長","11","08/01","丙午","小"
"1606/10/02","慶長","11","09/01","丙午","大"
"1606/11/01","慶長","11","10/01","丙午","小"
"1606/11/30","慶長","11","11/01","丙午","大"
"1606/12/30","慶長","11","12/01","丙午","小"
"1607/01/28","慶長","12","01/01","丁未","小"
"1607/02/26","慶長","12","02/01","丁未","大"
"1607/03/28","慶長","12","03/01","丁未","小"
"1607/04/26","慶長","12","04/01","丁未","大"
"1607/05/26","慶長","12","閏04/01","丁未","小"
"1607/06/24","慶長","12","05/01","丁未","大"
"1607/07/24","慶長","12","06/01","丁未","大"
"1607/08/23","慶長","12","07/01","丁未","小"
"1607/09/21","慶長","12","08/01","丁未","大"
"1607/10/21","慶長","12","09/01","丁未","大"
"1607/11/20","慶長","12","10/01","丁未","小"
"1607/12/19","慶長","12","11/01","丁未","大"
"1608/01/18","慶長","12","12/01","丁未","小"
